Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
PLS,0.9544450750501715,0.005335521422714654,0.9568514667844719,0.028818621224610326,0.021685782361711037
SVM,,,0.8501949744949109,0.05335947991251167,0.04343581887200984
