Model,Accuracy,Precision,Recall,F1,ECE,Temperature
PLS-DA,0.7513879740284182,0.7541644410605908,0.7513879740284182,0.7489998702829925,,
SVM,0.8585677990025407,0.8590551771426598,0.8585677990025407,0.8587074962557144,,
ResidualCNN,0.8646842947209937,0.8658068705212519,0.8646842947209937,0.8647682520674564,0.03445285568235509,1.141487956047058
